region;banana_factor
Module1_1_1;0.7584214800687832
Module1_1_2;0.6419307960938697
Module1_2_1;0.8051972685562183
Module1_2_2;0.6366405206101696
Module1_2_3;0.5303915876570376
Module1_2_4;0.6237191675960696
Module1_2_5;0.5429284490159896
Module1_2_6;0.659349038648874
Module1_3_1;0.6398743485333788
Module1_3_2;0.5126986144613284
Module1_4_1;0.6222331309528466
Module1_4_2;0.6972697847021987
Module1_4_3;0.5964693816155
Module1_5;0.7141536066644307
Module1_6;0.5546176595196192
Module1_7;0.6717748441779964
Module1_8;0.4923235314297785
