name;Module1_1_1_1;Module1_1_1_2;Module1_1_1_3;Module1_1_2_1;Module1_1_2_2;Module1_1_2_3;Module1_2_1;Module1_2_2_1;Module1_2_2_2;Module1_2_3_1;Module1_2_3_2;Module1_2_4;Module1_2_5_1;Module1_2_5_2;Module1_2_6;Module1_3_1_1;Module1_3_1_2;Module1_3_2;Module1_4_1_1;Module1_4_1_2;Module1_4_2_1;Module1_4_2_2;Module1_4_3;Module1_5;Module1_6;Module1_7_1;Module1_7_2;Module1_7_3;Module1_8
ACAd;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0061162079510703364;0.0;0.0;0.0;0.0;0.0;0.026299694189602447;0.0;0.0;0.0;0.8703363914373089;0.01651376146788991;0.0;0.0;0.0764525993883792;0.0;0.0;0.0;0.0;0.0;0.004281345565749235
ACAv;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.059571088165210485;0.0;0.0;0.0;0.7982525814138205;0.0;0.0;0.0;0.08101667990468626;0.0;0.0;0.0;0.0;0.0;0.0
AId;0.0;0.0;0.0010758472296933835;0.04303388918773534;0.0;0.9376008606777838;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006993006993006993;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AIp;0.4376026272577997;0.0;0.4852216748768473;0.007389162561576354;0.0;0.003284072249589491;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AIv;0.0;0.0;0.0011574074074074073;0.2835648148148148;0.0;0.47453703703703703;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008101851851851851;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AUDd;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4900662251655629;0.5099337748344371;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AUDp;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8191985088536813;0.013979496738117428;0.0;0.0;0.0;0.0;0.0;0.0;0.1668219944082013;0.0;0.0;0.0;0.0;0.0
AUDpo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AUDv;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11627906976744186;0.2713178294573643;0.0;0.0;0.0;0.0;0.0;0.0;0.6124031007751938;0.0;0.0;0.0;0.0;0.0
ECT;0.541958041958042;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11072261072261072;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.34498834498834496;0.0;0.0;0.0;0.0;0.0
FRP;0.0;0.0;0.0;0.0;0.0;0.5859213250517599;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2567287784679089;0.004140786749482402;0.016563146997929608;0.0;0.0;0.0;0.0;0.0;0.13457556935817805
GU;0.0;0.0;0.3671607753705815;0.0;0.0;0.6328392246294184;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ILA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8318385650224215;0.0;0.14573991031390135;0.0;0.0;0.0;0.0;0.0;0.0
MOp;0.0;0.0;0.0;0.0;0.25326970661010956;0.22834924001413928;0.0;0.0;0.0007069635913750442;0.0;0.02191587133262637;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14298338635560268;0.0;0.0;0.0;0.0;0.3527748320961471;0.0;0.0;0.0;0.0
MOs;0.0;0.0;0.0;0.0;0.001528117359413203;0.32059902200489;0.0;0.0;0.014669926650366748;0.0;0.0007640586797066015;0.0;0.0;0.0;0.0012224938875305623;0.0;0.0;0.0;0.20522616136919317;0.0964242053789731;0.0;0.0001528117359413203;0.008710268948655257;0.0;0.04920537897310513;0.0;0.0;0.0;0.3014975550122249
ORBl;0.0;0.0;0.0;0.0;0.0;0.3136094674556213;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009615384615384616;0.5414201183431953;0.0;0.0;0.0;0.0;0.0;0.0;0.0007396449704142012
ORBm;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9209809264305178;0.0;0.05722070844686648;0.0;0.0;0.0;0.0;0.0;0.0013623978201634877
ORBvl;0.0;0.0;0.0;0.0;0.0;0.015677491601343786;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6517357222844344;0.3012318029115342;0.0;0.0;0.0;0.0;0.0;0.0;0.0033594624860022394
PERI;0.49874686716791977;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09523809523809523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.37092731829573933;0.0;0.0;0.0;0.0;0.0
PL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.076138147566719;0.0;0.036891679748822605;0.0;0.8241758241758241;0.0;0.0;0.0;0.0;0.0;0.06279434850863422
RSPagl;0.0;0.0;0.0;0.0;0.0;0.0;0.3228621291448517;0.010471204188481676;0.15095986038394416;0.13612565445026178;0.031413612565445025;0.20855148342059338;0.1300174520069808;0.0;0.0;0.006980802792321117;0.0;0.002617801047120419;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RSPd;0.0;0.0;0.0;0.0;0.0;0.0;0.31194574856546686;0.14188836724047993;0.2863849765258216;0.0;0.0;0.16327595200834638;0.07355242566510173;0.0;0.011476264997391758;0.0010432968179447052;0.0;0.0036515388628064684;0.0;0.0010432968179447052;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RSPv;0.0;0.0;0.0;0.0;0.0;0.0;0.46006247211066487;0.13833110218652386;0.20169567157518964;0.0;0.0;0.08032128514056225;0.0;0.0;0.08835341365461848;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SSp-bfd;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.026717557251908396;0.0;0.0;0.009541984732824428;0.0;0.003498727735368957;0.6052798982188295;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07729007633587787;0.013994910941475827;0.26017811704834604;0.003498727735368957;0.0
SSp-ll;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7726120033812341;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.023668639053254437;0.0;0.0;0.0;0.0;0.2037193575655114;0.0;0.0;0.0;0.0
SSp-m;0.0;0.0;0.0;0.0;0.6455451913798649;0.32936635574139594;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.025088452878739145;0.0;0.0;0.0;0.0
SSp-n;0.0;0.0;0.0;0.0;0.13955026455026456;0.02976190476190476;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04828042328042328;0.6197089947089947;0.0496031746031746;0.1130952380952381;0.0
SSp-tr;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4870689655172414;0.4813218390804598;0.0;0.0;0.031609195402298854;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SSp-ul;0.0;0.0;0.0;0.0;0.014316012725344645;0.0;0.0;0.0;0.0;0.0;0.16967126193001061;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8160127253446448;0.0;0.0;0.0;0.0
SSp-un;0.0;0.0;0.0;0.0;0.0015873015873015873;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7761904761904762;0.0;0.0;0.0;0.0
SSs;0.038093116507017154;0.25952327912675427;0.008465137001559367;0.0;0.0;0.1472488304744932;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.32813544219202495;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001559367342392515;0.21697482735575851;0.0
TEa;0.16634553628773283;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4110468850353243;0.014771997430956968;0.0006422607578676942;0.0;0.0;0.0;0.0;0.0;0.4071933204881182;0.0;0.0;0.0;0.0;0.0
VISC;0.6290050590219224;0.06829679595278246;0.2917369308600337;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010961214165261383;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VISa;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4211994421199442;0.019525801952580194;0.0;0.0;0.5550906555090656;0.0;0.0041841004184100415;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VISal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8885941644562334;0.11140583554376658;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VISam;0.0;0.0;0.0;0.0;0.0;0.0;0.41645244215938304;0.0;0.0;0.12082262210796915;0.0;0.0;0.0;0.46272493573264784;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VISl;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VISli;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VISp;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012683201803833146;0.4458850056369786;0.09949267192784668;0.0;0.4298196166854566;0.0;0.012119503945885006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VISpl;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002544529262086514;0.0;0.0;0.089058524173028;0.0;0.8931297709923665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VISpm;0.0;0.0;0.0;0.0;0.0;0.0;0.15105162523900573;0.0;0.0;0.0;0.0;0.1147227533460803;0.06692160611854685;0.6673040152963671;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VISpor;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2583201267828843;0.0;0.7179080824088748;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VISrl;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.023762376237623763;0.0;0.8514851485148515;0.12475247524752475;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
