region;sum_gradients_variance
Module1_1_1_1;7915.161422596446
Module1_1_1_2;1133.6201449083196
Module1_1_1_3;2439.5963289277024
Module1_1_2_1;5082.831848531812
Module1_1_2_2;47573.94726954966
Module1_1_2_3;8370.502513893665
Module1_2_1;28472.0945537896
Module1_2_2_1;2711.96533988536
Module1_2_2_2;11579.499071697534
Module1_2_3_1;20879.316085792816
Module1_2_3_2;3324.4768096650228
Module1_2_4;20610.0406772984
Module1_2_5_1;2447.909550716617
Module1_2_5_2;9682.302955715804
Module1_2_6;10690.541899600234
Module1_3_1_1;3641.2942048033447
Module1_3_1_2;8468.985646593725
Module1_3_2;4766.340261290614
Module1_4_1_1;14966.015132367313
Module1_4_1_2;695.400911275387
Module1_4_2_1;3306.853358513089
Module1_4_2_2;1348.3443973190208
Module1_4_3;3354.047518005136
Module1_5;1676.8314618752172
Module1_6;4319.159653866573
Module1_7_1;1100.3759685012667
Module1_7_2;4210.84999472837
Module1_7_3;1409.9893730633244
Module1_8;2044.1501744596835
