region;mean_gradient_variance
Module1_1_1_1;2549.172465605952
Module1_1_1_2;287.815508033273
Module1_1_1_3_1;297.16344063924606
Module1_1_1_3_2;5195.712023346489
Module1_1_2_1;1771.7692751200566
Module1_1_2_2_1;15912.99394733202
Module1_1_2_2_2;25292.05798038753
Module1_1_2_3_1_1_1;295.49853250570806
Module1_1_2_3_1_1_2;3124.6534800427426
Module1_1_2_3_1_1_3;306.679406559068
Module1_1_2_3_1_2;336.9843518907767
Module1_1_2_3_2;207.55474587151576
Module1_2_1_1_1;19205.96191192524
Module1_2_1_1_2;25534.874246223284
Module1_2_1_1_3;4603.388033356364
Module1_2_1_2;562.907480090677
Module1_2_2_1;5936.63985284959
Module1_2_2_2_1;4990.088340968107
Module1_2_2_2_2;22171.162687757347
Module1_2_3_1_1;27752.1399453968
Module1_2_3_1_2;4918.112637411896
Module1_2_3_2_1;23984.94046341377
Module1_2_3_2_2;30470.056485893663
Module1_2_4;12088.223643659028
Module1_2_5_1_1;4725.598493657587
Module1_2_5_1_2;77.07944548025611
Module1_2_5_2;367.8889930866184
Module1_2_6;12044.235256251137
Module1_3_1_1_1_1_1;58.304637532077614
Module1_3_1_1_1_1_2;496.4420165515458
Module1_3_1_1_1_1_3;2860.524734323817
Module1_3_1_1_1_2;267.8434219331138
Module1_3_1_1_2_1_1;2444.048779284699
Module1_3_1_1_2_1_2;24771.808150923443
Module1_3_1_1_2_2;383.86647464486674
Module1_3_1_2_1_1;152.21001587286963
Module1_3_1_2_1_2;134.33028209064892
Module1_3_1_2_2_1;24523.10014932333
Module1_3_1_2_2_2;185.66012268889884
Module1_3_2_1_1;4862.236895083363
Module1_3_2_1_2;267.6007231721948
Module1_3_2_2;6968.240245600172
Module1_4_1_1_1_1;1779.1192514085517
Module1_4_1_1_1_2_1;6301.51402030949
Module1_4_1_1_1_2_2;205.5115287846897
Module1_4_1_1_2;10065.480135265954
Module1_4_1_2;86.90111570138883
Module1_4_2_1_1;1714.8474135569247
Module1_4_2_1_2;0.0
Module1_4_2_1_3;1563.5702429455894
Module1_4_2_2_1;26979.509743147257
Module1_4_2_2_2;532.5277906730215
Module1_4_3;1512.6571524113117
Module1_5_1;1772.7996410815642
Module1_5_2;246.1076307216865
Module1_6_1;3614.764553354843
Module1_6_2;144.71692445465288
Module1_7_1;660.4312348373074
Module1_7_2;10198.099564528078
Module1_7_3;153.25615462614243
Module1_8;299.7495312833089
